Date,Score
2023/4/22,66
2023/4/23,
2023/4/24,60
2023/4/25,71
2023/4/26,
2023/4/27,70
2023/4/28,66
2023/4/29,61
2023/4/30,76
2023/5/1,70
2023/5/2,77
2023/5/3,74
2023/5/4,81
2023/5/5,
2023/5/6,
2023/5/7,74
2023/5/8,71
2023/5/9,73
2023/5/10,68
2023/5/11,67
2023/5/12,66
2023/5/13,75
2023/5/14,67
2023/5/15,66
2023/5/16,74
2023/5/17,68
2023/5/18,63
2023/5/19,70
2023/5/20,73
2023/5/21,
2023/5/22,68
2023/5/23,68
2023/5/24,
2023/5/25,68
2023/5/26,
2023/5/27,70
2023/5/28,76
2023/5/29,72
2023/5/30,65
2023/5/31,66
2023/6/1,72
2023/6/2,
2023/6/3,68
2023/6/4,
2023/6/5,64
2023/6/6,65
2023/6/7,71
2023/6/8,
2023/6/9,72
2023/6/10,
2023/6/11,72
2023/6/12,72
2023/6/13,74
2023/6/14,72
2023/6/15,73
2023/6/16,
2023/6/17,73
2023/6/18,73
2023/6/19,78
2023/6/20,80
2023/6/21,
2023/6/22,
2023/6/23,
2023/6/24,69
2023/6/25,71
2023/6/26,
2023/6/27,68
2023/6/28,68
2023/6/29,
2023/6/30,
2023/7/1,75
2023/7/2,69
2023/7/3,
2023/7/4,
2023/7/5,
2023/7/6,73
2023/7/7,
2023/7/8,
2023/7/9,62
2023/7/10,63
2023/7/11,
2023/7/12,
2023/7/13,71
2023/7/14,70
2023/7/15,67
2023/7/16,
2023/7/17,65
2023/7/18,64
2023/7/19,72
2023/7/20,69
2023/7/21,71
2023/7/22,
2023/7/23,
2023/7/24,64
2023/7/25,60
2023/7/26,62
2023/7/27,58
2023/7/28,66
2023/7/29,73
2023/7/30,
2023/7/31,68
2023/8/1,68
2023/8/2,70
2023/8/3,71
2023/8/4,75
2023/8/5,
2023/8/6,
2023/8/7,65
2023/8/8,65
2023/8/9,76
2023/8/10,70
2023/8/11,72
2023/8/12,67
2023/8/13,76
2023/8/14,78
2023/8/15,75
2023/8/16,67
2023/8/17,
2023/8/18,72
2023/8/19,74
2023/8/20,73
2023/8/21,67
2023/8/22,73
2023/8/23,65
2023/8/24,67
2023/8/25,73
2023/8/26,
2023/8/27,69
2023/8/28,
2023/8/29,
2023/8/30,73
2023/8/31,70
2023/9/1,70
2023/9/2,68
2023/9/3,74
2023/9/4,68
2023/9/5,69
2023/9/6,75
2023/9/7,
2023/9/8,72
2023/9/9,79
2023/9/10,
2023/9/11,
2023/9/12,81
2023/9/13,85
2023/9/14,79
2023/9/15,77
2023/9/16,76
2023/9/17,
2023/9/18,62
2023/9/19,63
2023/9/20,64
2023/9/21,
2023/9/22,72
2023/9/23,70
2023/9/24,67
2023/9/25,64
2023/9/26,62
2023/9/27,61
2023/9/28,70
2023/9/29,
2023/9/30,72
2023/10/1,70
2023/10/2,76
2023/10/3,80
2023/10/4,73
2023/10/5,74
2023/10/6,73
2023/10/7,
2023/10/8,
2023/10/9,71
2023/10/10,
2023/10/11,75
2023/10/12,76
2023/10/13,73
2023/10/14,73
2023/10/15,76
2023/10/16,70
2023/10/17,67
2023/10/18,69
2023/10/19,74
2023/10/20,75
2023/10/21,76
2023/10/22,
2023/10/23,75
2023/10/24,79
2023/10/25,78
2023/10/26,82
2023/10/27,83
2023/10/28,80
2023/10/29,85
2023/10/30,83
2023/10/31,76
2023/11/1,78
2023/11/2,72
2023/11/3,
2023/11/4,71
2023/11/5,79
2023/11/6,
2023/11/7,83
2023/11/8,75
2023/11/9,80
2023/11/10,69
2023/11/11,77
2023/11/12,
2023/11/13,75
2023/11/14,
2023/11/15,67
2023/11/16,
2023/11/17,77
2023/11/18,
2023/11/19,69
2023/11/20,62
2023/11/21,
2023/11/22,
2023/11/23,
2023/11/24,
2023/11/25,65
2023/11/26,71
2023/11/27,63
2023/11/28,
2023/11/29,78
2023/11/30,71
2023/12/1,81
2023/12/2,81
2023/12/3,76
2023/12/4,
2023/12/5,70
2023/12/6,72
2023/12/7,73
2023/12/8,
2023/12/9,67
2023/12/10,73
2023/12/11,70
2023/12/12,69
2023/12/13,73
2023/12/14,72
2023/12/15,71
2023/12/16,71
2023/12/17,
2023/12/18,64
2023/12/19,66
2023/12/20,62
2023/12/21,71
2023/12/22,71
2023/12/23,68
2023/12/24,74
2023/12/25,80
2023/12/26,71
2023/12/27,75
2023/12/28,70
2023/12/29,73
2023/12/30,
2023/12/31,
